week_date,competitor,brand,product_type,model,title,url,processor,ram,storage,cosmetic_grade,form_factor,screen_resolution,price_previous,price_current,price_change,price_change_pct,change_flag,key
2025-10-01,DellRefurbished,Dell,Laptop,Latitude 5320 Touch,Dell Latitude 5320 Touch,https://www.dellrefurbished.com/item/dell-latitude-5320-touch-000135/dell-latitude-5320-touch/1.html,"1x Intel Core i5-1145G7 (4-Core, 2.60 GHz)",16 GB (1x 16GB),512 GB (1x 512 GB SSD),Grade A,,FHD (1920 x 1080),,519.00,,,NEW,dellrefurbished|https://www.dellrefurbished.com/item/dell-latitude-5320-touch-000135/dell-latitude-5320-touch/1.html
2025-10-01,DellRefurbished,Dell,Laptop,Latitude 5320 Touch,Dell Latitude 5320 Touch,https://www.dellrefurbished.com/item/dell-latitude-5320-touch-000137/dell-latitude-5320-touch/1.html,"1x Intel Core i7-1185G7 (4-Core, 3.00 GHz)",16 GB (1x 16GB),512 GB (1x 512 GB SSD),Grade B,,FHD (1920 x 1080),,529.00,,,NEW,dellrefurbished|https://www.dellrefurbished.com/item/dell-latitude-5320-touch-000137/dell-latitude-5320-touch/1.html
2025-10-01,DellRefurbished,Dell,Laptop,Latitude 5320 Touch,Dell Latitude 5320 Touch,https://www.dellrefurbished.com/item/dell-latitude-5320-touch-000094/dell-latitude-5320-touch/1.html,"1x Intel Core i7-1185G7 (4-Core, 3.00 GHz)",32 GB (1x 32GB),512 GB (1x 512 GB SSD),Grade A,,FHD (1920 x 1080),,639.00,,,NEW,dellrefurbished|https://www.dellrefurbished.com/item/dell-latitude-5320-touch-000094/dell-latitude-5320-touch/1.html
2025-10-01,DellRefurbished,Dell,Laptop,Latitude 5320 Touch,Dell Latitude 5320 Touch,https://www.dellrefurbished.com/item/dell-latitude-5320-touch-000140/dell-latitude-5320-touch/1.html,"1x Intel Core i7-1185G7 (4-Core, 3.00 GHz)",16 GB (1x 16GB),256 GB (1x 256 GB SSD),Grade B,,FHD (1920 x 1080),,509.00,,,NEW,dellrefurbished|https://www.dellrefurbished.com/item/dell-latitude-5320-touch-000140/dell-latitude-5320-touch/1.html
2025-10-01,DellRefurbished,Dell,Laptop,Latitude 5320 Touch,Dell Latitude 5320 Touch,https://www.dellrefurbished.com/item/dell-latitude-5320-touch-000136/dell-latitude-5320-touch/1.html,"1x Intel Core i5-1145G7 (4-Core, 2.60 GHz)",16 GB (1x 16GB),512 GB (1x 512 GB SSD),Grade B,,FHD (1920 x 1080),,469.00,,,NEW,dellrefurbished|https://www.dellrefurbished.com/item/dell-latitude-5320-touch-000136/dell-latitude-5320-touch/1.html
2025-10-01,DellRefurbished,Dell,Laptop,Latitude 5320,Dell Latitude 5320,https://www.dellrefurbished.com/item/dell-latitude-5320-000246/dell-latitude-5320/1.html,"1x Intel Core i5-1145G7 (4-Core, 2.60 GHz)",8 GB (1x 8GB),256 GB (1x 256 GB SSD),Grade B,,FHD (1920 x 1080),,399.00,,,NEW,dellrefurbished|https://www.dellrefurbished.com/item/dell-latitude-5320-000246/dell-latitude-5320/1.html
2025-10-01,DellRefurbished,Dell,Laptop,Latitude 5320,Dell Latitude 5320,https://www.dellrefurbished.com/item/dell-latitude-5320-000188/dell-latitude-5320/1.html,"1x Intel Core i7-1185G7 (4-Core, 3.00 GHz)",16 GB (1x 16GB),512 GB (1x 512 GB SSD),Grade A,,FHD (1920 x 1080),,559.00,,,NEW,dellrefurbished|https://www.dellrefurbished.com/item/dell-latitude-5320-000188/dell-latitude-5320/1.html
2025-10-01,DellRefurbished,Dell,Laptop,Latitude 5320,Dell Latitude 5320,https://www.dellrefurbished.com/item/dell-latitude-5320-000230/dell-latitude-5320/1.html,"1x Intel Core i7-1185G7 (4-Core, 3.00 GHz)",16 GB (1x 16GB),512 GB (1x 512 GB SSD),Grade B,,FHD (1920 x 1080),,499.00,,,NEW,dellrefurbished|https://www.dellrefurbished.com/item/dell-latitude-5320-000230/dell-latitude-5320/1.html
2025-10-01,DellRefurbished,Dell,Laptop,Latitude 5320,Dell Latitude 5320,https://www.dellrefurbished.com/item/dell-latitude-5320-000201/dell-latitude-5320/1.html,"1x Intel Core i7-1185G7 (4-Core, 3.00 GHz)",16 GB (1x 16GB),256 GB (1x 256 GB SSD),Grade A,,FHD (1920 x 1080),,539.00,,,NEW,dellrefurbished|https://www.dellrefurbished.com/item/dell-latitude-5320-000201/dell-latitude-5320/1.html
2025-10-01,DellRefurbished,Dell,Laptop,Latitude 5330,Dell Latitude 5330,https://www.dellrefurbished.com/item/dell-latitude-5330-000037/dell-latitude-5330/1.html,"1x Intel Core i5-1235U (10-Core, 3.30 GHz)",8 GB (1x 8GB),256 GB (1x 256 GB SSD),Grade A,,FHD (1920 x 1080),,379.00,,,NEW,dellrefurbished|https://www.dellrefurbished.com/item/dell-latitude-5330-000037/dell-latitude-5330/1.html
